#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 67 | Hoe ontbind je een kracht in twee componenten? | Gebruik de omgekeerde parallellogrammethode door de kracht in de richting van de werklijnen te splitsen. |
| 68 | Wat betekent evenwicht van krachten? | Krachten zijn in evenwicht als de resulterende kracht gelijk is aan nul, wat betekent dat de krachten elkaar opheffen. |
| 69 | Hoe bepaal je de derde kracht bij een driekrachtenevenwicht als twee krachten bekend zijn? | Construeer de resulterende kracht van de twee bekende krachten en teken de tegengestelde kracht. |
| 70 | Wat moet je doen als slechts één kracht bekend is in een driekrachtenevenwicht? | Ontbind de bekende kracht in de richtingen van de werklijnen en construeer vervolgens de tegengestelde krachten. |
| 71 | Wat is de krachtenschaal en hoe gebruik je die? | De krachtenschaal is een schaalverhouding die wordt gebruikt om krachten op een tekening te meten. Het wordt gebruikt om de grootte van een kracht op schaal te bepalen. |
| 72 | Waarom heffen de horizontale componenten van de veerkrachten elkaar op? | Omdat de krachten op de plank in evenwicht zijn en de horizontale componenten van de veren tegen elkaar werken. |
| 73 | Hoe teken je een kracht op een tekening met een krachtenschaal? | Teken de kracht met een pijl op schaal die de grootte en richting van de kracht representeert. |

* Hd4
** Hd4.txt
|#| Vraag | Antwoord |
|-----------|--------------|
| 1 | Wat houdt de eerste wet van Newton in? | De eerste wet van Newton stelt dat een voorwerp in rust blijft of met constante snelheid in een rechte lijn beweegt als de resulterende kracht op het voorwerp gelijk is aan nul. |
| 2 | Welke krachten werken op een voorwerp dat met constante snelheid beweegt? | De krachten zijn in evenwicht: de voorwaartse kracht is gelijk aan de som van de weerstandskrachten. |
| 3 | Hoe bepaal je de duwkracht van de bouwvakker als de kruiwagen met constante snelheid beweegt? | De duwkracht is gelijk aan de rolweerstandskracht maar in tegengestelde richting. |
| 4 | Hoe werkt de zwaartekracht op een voorwerp op een helling? | De zwaartekracht werkt verticaal naar beneden en kan worden ontbonden in componenten evenwijdig en loodrecht op de helling. |
| 5 | Wat gebeurt er als de resulterende kracht op een voorwerp gelijk is aan nul? | Het voorwerp blijft in rust of beweegt met constante snelheid in een rechte lijn. |
| 6 | Wat is de rol van de tweede wet van Newton? | De tweede wet van Newton beschrijft het verband tussen de resulterende kracht, massa en versnelling van een voorwerp. |
| 7 | Hoe bepaal je de duwkracht op een helling? | Kijk naar de krachten die evenwijdig aan de helling werken, zoals de rolweerstandskracht en de component van de zwaartekracht langs de helling. |
| 8 | Wat gebeurt er met de resulterende kracht als een voorwerp versnelt? | De resulterende kracht is groter dan nul en in dezelfde richting als de versnelling. |
| 9 | Hoe kun je de eerste wet van Newton toepassen op een fietser die met constante snelheid rijdt? | De kracht die de fietser uitoefent op de pedalen compenseert precies de weerstandskrachten, zodat de resulterende kracht nul is en de snelheid constant blijft. |
| 10 | Wat gebeurt er met de krachten op een voorwerp als het met een constante snelheid door een bocht gaat? | De krachten moeten in evenwicht zijn, wat betekent dat de resulterende kracht naar het centrum van de bocht gericht is. |
| 11 | Hoe beïnvloedt de massa van een voorwerp de versnelling als er een resulterende kracht op werkt? | Een grotere massa resulteert in een kleinere versnelling bij een gegeven resulterende kracht. |
| 12 | Wat is de relatie tussen de richting van de versnelling en de resulterende kracht? | De richting van de versnelling is dezelfde als die van de resulterende kracht. |
| 13 | Hoe teken je een kracht op een schaaltekening? | Gebruik de krachtenschaal om de grootte van de kracht weer te geven en teken een pijl die de richting van de kracht aangeeft. |
| 14 | Hoe verhoudt de kracht van Henk zich tot die van Dille in een touwtrekwedstrijd? | Als Dille en Henk het touw niet bewegen, zijn hun krachten gelijk en tegengesteld. Als Henk helpt, is zijn kracht gelijk aan de kracht van Dille plus de kracht die nodig is om het touw in beweging te brengen. |
| 15 | Hoe verandert de luchtweerstandskracht met de snelheid? | De luchtweerstandskracht neemt toe met de snelheid. |
| 16 | Wat gebeurt er met de versnelling als de luchtweerstandskracht gelijk is aan de zwaartekracht? | De versnelling wordt nul, en de snelheid wordt constant. |
| 17 | Hoe kan je de resulterende kracht op een object berekenen als je de massa en versnelling kent? | Gebruik de formule F = m × a, waarbij F de resulterende kracht is, m de massa en a de versnelling. |
| 18 | Welke krachten werken op een object dat van een helling af glijdt? | Zwaartekracht, schuifwrijvingskracht, en normaalkracht. |
| 19 | Wat is de rol van de schuifwrijvingskracht bij een versnelde beweging op een helling? | De schuifwrijvingskracht werkt tegen de beweging en vermindert de versnelling. |
| 20 | Hoe bereken je de gemiddelde luchtweerstandskracht bij een constante snelheid? | De gemiddelde luchtweerstandskracht is gelijk aan de kracht die de luchtweerstand uitoefent bij die constante snelheid. |
| 21 | Wat gebeurt er met de snelheid van een parachutist na het openen van de parachute? | De snelheid vermindert omdat de luchtweerstandskracht groter wordt dan de zwaartekracht. |
| 22 | Waarom verandert de kracht van de liftkabel in een lift? | De kracht van de liftkabel verandert afhankelijk van of de lift versnelt of afremt. |
| 23 | Hoe bepaal je de massa van een object als je de versnelling en resulterende kracht kent? | Gebruik de formule m = F / a, waarbij F de resulterende kracht is en a de versnelling. |
| 24 | Welke krachten werken op een motorboot tijdens het varen? | Motorkracht, wrijvingskracht, en eventueel andere krachten zoals de kracht van de golven. |
| 25 | Hoe beïnvloedt de luchtweerstand de valversnelling van een object? | De luchtweerstand vermindert de versnelling totdat de snelheid constant wordt. |
| 26 | Wat gebeurt er met de versnelling van een ballon als deze met constante snelheid beweegt? | De versnelling is nul als de snelheid constant is. |
| 27 | Hoe kun je de kracht die een krachtmeter aangeeft vergelijken met een andere krachtmeter? | Beide krachtmeters geven gelijke krachten aan, maar in tegengestelde richtingen. |
| 28 | Wat is de derde wet van Newton?                                                                | Als object A een kracht uitoefent op object B, dan oefent object B tegelijkertijd een gelijkwaardige, maar tegengestelde kracht uit op object A.                                          |
| 29 | Waarom kun je niet lopen op glad ijs?                                                          | De schuifwrijvingskracht is te klein om je vooruit te duwen.                                                                                                                               |
| 30 | Wat is het verschil tussen actie- en reactiekrachten?                                           | Beide krachten zijn gelijk en tegengesteld. Actiekracht en reactiekracht zijn twee zijden van dezelfde interactie en bestaan altijd samen.                                                |
| 31 | Wat is het gewicht van een baksteen?                                                           | Het gewicht is de kracht die de aarde uitoefent op de baksteen, gemeten in newton.                                                                                                          |
| 32 | Wat is de normaalkracht?                                                                       | De kracht die een oppervlak uitoefent op een object in contact met dat oppervlak, tegengesteld en gelijk aan de kracht die het object uitoefent op het oppervlak.                        |
| 33 | Hoe kan de massa van een voorwerp worden berekend?                                              | Massa wordt berekend door de kracht te delen door de versnelling van het voorwerp.                                                                                                           |
| 34 | Wat gebeurt er als je een baksteen loslaat?                                                    | De baksteen versnelt naar beneden door de zwaartekracht.                                                                                                                                     |
| 35 | Welke krachten werken op een baksteen die aan een touw hangt?                                   | Het gewicht van de baksteen en de spankracht van het touw. Deze krachten zijn gelijk en tegengesteld aan elkaar wanneer de baksteen stil hangt.                                          |
| 36 | Wat is het effect van de massa van de aarde op de versnelling van een baksteen?                | De versnelling van de aarde is veel kleiner dan die van de baksteen vanwege het enorme verschil in massa.                                                                                   |
